"Channery"|"80365015"|"21895429"
"Very channery"|"80365049"|"21895776"
"Very channery"|"80365051"|"21895778"
"Channery"|"80365076"|"21895398"
"Very channery"|"80365083"|"21895819"
"Channery"|"80365092"|"21895847"
"Very channery"|"80365115"|"21895609"
"Channery"|"80365133"|"21895666"
"Gravelly"|"80365190"|"21895907"
"Very channery"|"80365217"|"21895843"
"Gravelly"|"80365224"|"21895868"
"Channery"|"80365226"|"21895879"
"Channery"|"80365235"|"21895451"
"Channery"|"80365310"|"21895736"
"Very channery"|"80365342"|"21895932"
"Gravelly"|"80365369"|"21895884"
"Channery"|"80365376"|"21895452"
"Channery"|"80365408"|"21895660"
"Extremely channery"|"80365433"|"21895442"
"Very channery"|"80365474"|"21895911"
"Very channery"|"80365483"|"21895399"
"Channery"|"80365485"|"21895403"
"Gravelly"|"80365492"|"21895824"
"Extremely channery"|"80365508"|"21895885"
"Gravelly"|"80365535"|"21895120"
"Very gravelly"|"80365594"|"21895234"
"Channery"|"80365599"|"21895508"
"Channery"|"80365610"|"21895536"
"Channery"|"80365626"|"21895579"
"Flaggy"|"80365635"|"21895973"
"Very channery"|"80365651"|"21895951"
"Fine gravelly"|"80365660"|"21894931"
"Very channery"|"80365667"|"21894945"
"Channery"|"80365728"|"21895190"
"Very channery"|"80365733"|"21895210"
"Channery"|"80365735"|"21895212"
"Very flaggy"|"80365760"|"21895542"
"Very gravelly"|"80365810"|"21894928"
"Channery"|"80365817"|"21894942"
"Gravelly"|"80365842"|"21895119"
"Flaggy"|"80365937"|"21895972"
"Channery"|"80365942"|"21895990"
"Channery"|"80365951"|"21895946"
"Channery"|"80365953"|"21895952"
"Very gravelly"|"80365960"|"21894932"
"Gravelly"|"80366001"|"21895111"
"Very gravelly"|"80366044"|"21895231"
"Channery"|"80366062"|"21895537"
"Very channery"|"80366067"|"21895552"
"Channery"|"80366069"|"21895554"
"Channery"|"80366078"|"21895584"
"Very channery"|"80366171"|"21894996"
"Channery"|"80366194"|"21895048"
"Channery"|"80366312"|"21894983"
"Channery"|"80366319"|"21895001"
"Gravelly"|"80366321"|"21895006"
"Gravelly"|"80366335"|"21895014"
"Channery"|"80366369"|"21896046"
"Extremely channery"|"80366376"|"21896073"
"Channery"|"80366387"|"21896115"
"Channery"|"80366405"|"21895257"
"Channery"|"80366435"|"21895498"
"Channery"|"80366446"|"21894969"
"Very channery"|"80366512"|"21896045"
"Channery"|"80366569"|"21895476"
"Channery"|"80366571"|"21895481"
"Very gravelly"|"80366610"|"21894981"
"Very gravelly"|"80366655"|"21895037"
"Extremely gravelly"|"80366678"|"21895073"
"Channery"|"80366694"|"21896071"
"Extremely channery"|"80366719"|"21895652"
"Channery"|"80366730"|"21895270"
"Gravelly"|"80366821"|"21895813"
"Very channery"|"80366837"|"21895334"
"Gravelly"|"80366871"|"21895804"
"Extremely flaggy"|"80366889"|"21895305"
"Channery"|"80366903"|"21895354"
"Channery"|"80366914"|"21896018"
"Very channery"|"80366921"|"21896036"
"Channery"|"80366939"|"21895507"
"Very channery"|"80366962"|"21895309"
"Channery"|"80366973"|"21895351"
"Channery"|"80365006"|"21895673"
"Channery"|"80365040"|"21895741"
"Very channery"|"80365056"|"21895793"
"Channery"|"80365074"|"21895397"
"Channery"|"80365151"|"21895432"
"Channery"|"80365160"|"21895705"
"Very channery"|"80365183"|"21895784"
"Channery"|"80365185"|"21895786"
"Channery"|"80365199"|"21895394"
"Extremely channery"|"80365208"|"21895417"
"Channery"|"80365210"|"21895826"
"Channery"|"80365251"|"21895091"
"Gravelly"|"80365258"|"21895607"
"Very channery"|"80365315"|"21895749"
"Very channery"|"80365351"|"21895816"
"Channery"|"80365358"|"21895845"
"Very channery"|"80365365"|"21895871"
"Very channery"|"80365374"|"21895449"
"Gravelly"|"80365392"|"21895600"
"Very channery"|"80365417"|"21895680"
"Very channery"|"80365494"|"21895831"
