||"Tread"||"20536414"|"7018229"
||"Tread"||"20536415"|"7018232"
||"Tread"||"20536416"|"7018235"
||"Tread"||"20536417"|"7018238"
||"Tread"||"20536418"|"7018257"
||"Tread"||"20536419"|"7018280"
||"Tread"||"20536420"|"7018281"
||"Tread"||"20536421"|"7018305"
||"Tread"||"20536422"|"7018293"
||"Tread"||"20536423"|"7018295"
||"Tread"||"20536424"|"7018301"
||"Tread"||"20536425"|"7018303"
|"Base Slope"|||"20536426"|"7018250"
|"Crest"|||"20536427"|"7018321"
|"Crest"|||"20536428"|"7018324"
|"Side Slope"|||"20536429"|"7018327"
|"Side Slope"|||"20536430"|"7018330"
|"Side Slope"|||"20536431"|"7018333"
|"Base Slope"|||"20536432"|"7018344"
|"Base Slope"|||"20536433"|"7018347"
|"Base Slope"|||"20536434"|"7018350"
||"Tread"||"20536435"|"7018241"
||"Tread"||"20536436"|"7018244"
||"Tread"||"20536437"|"7018247"
||"Tread"||"20536438"|"7018253"
||"Riser"||"20536439"|"7018255"
||"Tread"||"20536440"|"7018294"
||"Tread"||"20536441"|"7018339"
||"Tread"||"20536442"|"7018296"
||"Tread"||"20536443"|"7018302"
||"Tread"||"20536444"|"7018304"
||"Tread"||"20536445"|"7018310"
||"Tread"||"20536446"|"7018312"
||"Tread"||"20536447"|"7018314"
|"Base Slope"|||"20536457"|"7018485"
|"Base Slope"|||"20536458"|"7018500"
|"Base Slope"|||"20536459"|"7018408"
||"Tread"||"20536460"|"7018414"
|"Base Slope"|||"20536467"|"7018403"
|"Base Slope"|||"20536468"|"7018404"
|"Base Slope"|||"20536469"|"7018405"
|"Base Slope"|||"20536470"|"7018407"
|"Base Slope"|||"20536482"|"7018353"
|"Base Slope"|||"20536519"|"7018410"
|"Base Slope"|||"20536520"|"7018415"
|"Crest"|||"20536521"|"7018371"
|||"Talf"|"20536525"|"7018338"
|||"Rise"|"20536526"|"7018369"
||"Tread"||"20536527"|"7018379"
||"Tread"||"20536529"|"7018380"
|||"Talf"|"20536530"|"7018381"
|||"Talf"|"20536531"|"7018423"
|||"Talf"|"20536532"|"7018424"
|"Crest"|||"20536535"|"7018372"
|||"Talf"|"20536538"|"7018412"
||"Tread"||"20536540"|"7018230"
||"Tread"||"20536541"|"7018233"
||"Tread"||"20536542"|"7018236"
||"Tread"||"20536543"|"7018239"
||"Tread"||"20536544"|"7018242"
||"Tread"||"20536545"|"7018245"
||"Tread"||"20536546"|"7018248"
||"Tread"||"20536547"|"7018315"
|"Base Slope"|||"20536548"|"7018251"
|"Crest"|||"20536549"|"7018322"
|"Crest"|||"20536550"|"7018325"
|"Side Slope"|||"20536551"|"7018328"
|"Side Slope"|||"20536552"|"7018331"
|"Side Slope"|||"20536553"|"7018334"
|"Base Slope"|||"20536554"|"7018345"
|"Base Slope"|||"20536555"|"7018348"
|"Base Slope"|||"20536556"|"7018351"
|"Side Slope"|||"20536557"|"7018471"
|||"Talf"|"20536561"|"7018413"
||"Tread"||"20536563"|"7018231"
||"Tread"||"20536564"|"7018234"
||"Tread"||"20536565"|"7018237"
||"Tread"||"20536566"|"7018240"
||"Tread"||"20536567"|"7018243"
||"Tread"||"20536568"|"7018246"
||"Tread"||"20536569"|"7018358"
||"Tread"||"20536570"|"7018274"
||"Riser"||"20536571"|"7018276"
||"Riser"||"20536572"|"7018278"
||"Tread"||"20536573"|"7018306"
||"Tread"||"20536574"|"7018316"
||"Tread"||"20536575"|"7018354"
||"Tread"||"20536576"|"7018249"
||"Tread"||"20536577"|"7018258"
||"Tread"||"20536578"|"7018266"
||"Tread"||"20536579"|"7018268"
||"Tread"||"20536580"|"7018270"
||"Tread"||"20536581"|"7018272"
|"Crest"|||"20536582"|"7018373"
||"Tread"||"20536583"|"7018267"
||"Tread"||"20536584"|"7018269"
||"Tread"||"20536585"|"7018271"
||"Tread"||"20536586"|"7018273"
||"Tread"||"20536587"|"7018275"
||"Riser"||"20536588"|"7018277"
||"Riser"||"20536589"|"7018279"
||"Tread"||"20536590"|"7018355"
