"Ochric epipedon"||0|||15|||15||"13897001"|"5600462"
"Cambic horizon"||15|||46|||31||"13897001"|"5600463"
"Ochric epipedon"||0|||15|||15||"13897002"|"5600464"
"Cambic horizon"||15|||46|||31||"13897002"|"5600465"
"Fragipan"|66|74|97|102|132|203|20|58|137|"13897004"|"5600466"
"Ochric epipedon"|0|0|0|13|23|30|13|23|30|"13897004"|"5600467"
"Cambic horizon"|13|23|30|48|74|97|36|51|66|"13897004"|"5600468"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897005"|"5600469"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897005"|"5600470"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897005"|"5600471"
"Ochric epipedon"|0|0|0|13|23|28|13|23|28|"13897006"|"5600472"
"Cambic horizon"|13|23|28|28|61|102|15|38|89|"13897006"|"5600473"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897007"|"5600474"
"Ochric epipedon"|0|0|0|15|23|30|15|23|30|"13897007"|"5600475"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897008"|"5600476"
"Ochric epipedon"|0|0|0|5|10|15|5|10|15|"13897008"|"5600477"
"Ochric epipedon"|0|0|0|8|38|51|8|38|51|"13897009"|"5600478"
"Fragipan"|20|38|51|76|114|142|25|76|91|"13897009"|"5600479"
"Ochric epipedon"|0|0|0|8|38|51|8|38|51|"13897010"|"5600480"
"Fragipan"|20|38|51|76|114|142|25|76|91|"13897010"|"5600481"
"Aquic conditions"||0|||200|||200||"13897011"|"5600482"
"Cambic horizon"||25|||64|||39||"13897011"|"5600483"
"Mollic epipedon"||0|||25|||25||"13897011"|"5600484"
"Mollic epipedon"||0|||25|||25||"13897013"|"5600485"
"Cambic horizon"||25|||64|||39||"13897013"|"5600486"
"Aquic conditions"||0|||200|||200||"13897013"|"5600487"
"Ochric epipedon"|0|0|0|15|20|25|15|20|25|"13897123"|"5600488"
"Argillic horizon"|15|20|25|43|61|76|30|41|61|"13897123"|"5600489"
"Ochric epipedon"|0|0|0|18|20|33|18|20|33|"13897124"|"5600490"
"Argillic horizon"|18|20|33|86|132|157|53|112|139|"13897124"|"5600491"
"Redox depletions with chroma 2 or less"|36|53|55|117|175|203|62|122|167|"13897124"|"5600492"
"Lithic contact"|117|175|203|142|200|228||25||"13897124"|"5600493"
"Fragipan"|43|53|76|91|107|165|48|54|122|"13897125"|"5600494"
"Aquic conditions"|0|3|5|91|107|165|91|104|165|"13897125"|"5600495"
"Ochric epipedon"|0|0|0|15|20|30|15|20|30|"13897125"|"5600496"
"Argillic horizon"|15|20|30|33|107|165|18|87|150|"13897125"|"5600497"
"Ochric epipedon"|0|0|0|22|28|43|22|28|43|"13897126"|"5600498"
"Argillic horizon"|22|28|43|96|142|165|74|114|143|"13897126"|"5600499"
"Fragipan"|43|58|76|96|142|165|53|84|122|"13897126"|"5600500"
"Ochric epipedon"|0|0|0|7|17|43|7|17|43|"13897128"|"5600501"
"Argillic horizon"|10|17|36|53|62|76|33|45|61|"13897128"|"5600502"
"Ochric epipedon"|0|0|0|22|28|43|22|28|43|"13897130"|"5600503"
"Argillic horizon"|22|28|43|96|142|165|74|114|143|"13897130"|"5600504"
"Fragipan"|43|58|76|96|142|165|53|84|122|"13897130"|"5600505"
"Redox depletions with chroma 2 or less"|38|43|51|96|142|165|58|99|127|"13897130"|"5600506"
"Argillic horizon"|18|20|33|86|132|157|53|112|139|"13897132"|"5600507"
"Ochric epipedon"|0|0|0|18|20|33|18|20|33|"13897132"|"5600508"
"Lithic contact"|117|175|203|142|200|228|25|25|25|"13897132"|"5600509"
"Redox depletions with chroma 2 or less"|36|53|55|117|175|203|62|122|167|"13897132"|"5600510"
